Year,Commodity Code,Crop Name,County Code,County,Harvested Acres,Yield,Production,Price P/U,Unit,Value
2022,378299.0,"Tomatoes, Processing",95,Solano,9500.0,46.21,439000.0,107.87,,47353000.0
2022,378299.0,"Tomatoes, Processing",101,Sutter,17900.0,46.82,838000.0,106.95,Tons,89621000.0
2022,378299.0,"Tomatoes, Processing",113,Yolo,35100.0,48.89,1716000.0,107.0,Tons,183612000.0
2022,378299.0,"Tomatoes, Processing",999,State Total,224964.0,48.03,10804700.0,103.0,Tons,1112842000.0
2022,,"Triticale, All",31,Kings,10700.0,16.82,180000.0,78.41,Tons,14113000.0
2022,,"Triticale, All",67,Sacramento,2700.0,3.5,9460.0,281.08,Tons,2659000.0
2022,,"Triticale, All",93,Siskiyou,750.0,0.9,675.0,219.26,Tons,148000.0
2022,,"Triticale, All",95,Solano,4400.0,2.91,12800.0,236.17,Tons,3023000.0
2022,,"Triticale, All",998,Sum of Others,14000.0,,,,,24460000.0
2022,,"Triticale, All",999,State Total,32550.0,10.94,202935.0,98.27,Tons,44403000.0
2022,188499.0,"Hay, Grain",93,Siskiyou,750.0,0.9,675.0,219.26,Tons,148000.0
2022,188499.0,"Hay, Grain",95,Solano,4400.0,2.91,12800.0,236.17,Tons,3023000.0
2022,188499.0,"Hay, Grain",998,Sum of Others,5350.0,,,,,7408000.0
2022,188499.0,"Hay, Grain",999,State Total,10500.0,2.62,13475.0,235.32,Tons,10579000.0
2022,115992.0,Triticale,31,Kings,10700.0,16.82,180000.0,78.41,Tons,14113000.0
2022,115992.0,Triticale,67,Sacramento,2700.0,3.5,9460.0,281.08,Tons,2659000.0
2022,115992.0,Triticale,998,Sum of Others,8630.0,,,,,17051000.0
2022,115992.0,Triticale,999,State Total,22030.0,14.14,189460.0,88.53,Tons,33823000.0
2022,619999.0,"Turkeys, Unspecified",47,Merced,,,,,,37970000.0
2022,619999.0,"Turkeys, Unspecified",77,San Joaquin,,,,,,7361000.0
2022,619999.0,"Turkeys, Unspecified",998,Sum of Others,,,,,,50967000.0
2022,619999.0,"Turkeys, Unspecified",999,State Total,,,,,,96298000.0
2022,380999.0,"Turnips, All",998,Sum of Others,166.0,,,,,4011000.0
2022,380999.0,"Turnips, All",999,State Total,166.0,,,,,4011000.0
2022,398999.0,"Vegetables, Unspecified",1,Alameda,150.0,,,,,318000.0
2022,398999.0,"Vegetables, Unspecified",5,Amador,,,,,,92700.0
2022,398999.0,"Vegetables, Unspecified",7,Butte,,,,,,1287000.0
2022,398999.0,"Vegetables, Unspecified",9,Calaveras,,,,,,49800.0
2022,398999.0,"Vegetables, Unspecified",11,Colusa,,,,,,23000000.0
2022,398999.0,"Vegetables, Unspecified",13,Contra Costa,398.0,,,,,3057000.0
2022,398999.0,"Vegetables, Unspecified",21,Glenn,50.0,,,,,235000.0
2022,398999.0,"Vegetables, Unspecified",23,Humboldt,300.0,,,,,3679000.0
2022,398999.0,"Vegetables, Unspecified",31,Kings,6410.0,,,,,37308000.0
2022,398999.0,"Vegetables, Unspecified",33,Lake,9.0,,,,,287000.0
2022,398999.0,"Vegetables, Unspecified",41,Marin,270.0,,,,,3400000.0
2022,398999.0,"Vegetables, Unspecified",43,Mariposa,,,,,,154000.0
2022,398999.0,"Vegetables, Unspecified",45,Mendocino,350.0,,,,,1387000.0
2022,398999.0,"Vegetables, Unspecified",55,Napa,16.0,,,,,384000.0
2022,398999.0,"Vegetables, Unspecified",57,Nevada,105.0,,,,,3352000.0
2022,398999.0,"Vegetables, Unspecified",61,Placer,,,,,,2001000.0
2022,398999.0,"Vegetables, Unspecified",63,Plumas,,,,,,210000.0
2022,398999.0,"Vegetables, Unspecified",65,Riverside,5100.0,,,,,27478000.0
2022,398999.0,"Vegetables, Unspecified",67,Sacramento,2670.0,,,,,20303000.0
2022,398999.0,"Vegetables, Unspecified",69,San Benito,6660.0,,,,,56509000.0
2022,398999.0,"Vegetables, Unspecified",77,San Joaquin,1050.0,,,,,3644000.0
2022,398999.0,"Vegetables, Unspecified",79,San Luis Obispo,9710.0,,,,,85185000.0
2022,398999.0,"Vegetables, Unspecified",81,San Mateo,418.0,,,,,9704000.0
2022,398999.0,"Vegetables, Unspecified",83,Santa Barbara,6770.0,,,,,180326000.0
2022,398999.0,"Vegetables, Unspecified",85,Santa Clara,1450.0,,,,,23326000.0
2022,398999.0,"Vegetables, Unspecified",91,Sierra,15.0,,,,,451000.0
2022,398999.0,"Vegetables, Unspecified",93,Siskiyou,,,,,,13250000.0
2022,398999.0,"Vegetables, Unspecified",95,Solano,2600.0,,,,,51417000.0
2022,398999.0,"Vegetables, Unspecified",97,Sonoma,254.0,,,,,2969000.0
2022,398999.0,"Vegetables, Unspecified",103,Tehama,121.0,,,,,363000.0
2022,398999.0,"Vegetables, Unspecified",107,Tulare,4710.0,,,,,25138000.0
2022,398999.0,"Vegetables, Unspecified",109,Tuolumne,11.0,,,,,389000.0
2022,398999.0,"Vegetables, Unspecified",111,Ventura,4260.0,,,,,43053000.0
2022,398999.0,"Vegetables, Unspecified",113,Yolo,6290.0,,,,,29877000.0
2022,398999.0,"Vegetables, Unspecified",998,Sum of Others,41700.0,,,,,528236000.0
2022,398999.0,"Vegetables, Unspecified",999,State Total,101847.0,,,,,1181819500.0
2022,263999.0,"Walnuts, English",5,Amador,233.0,0.51,119.0,873.95,Tons,104000.0
2022,263999.0,"Walnuts, English",7,Butte,53700.0,1.5,80500.0,800.26,Tons,64421000.0
2022,263999.0,"Walnuts, English",9,Calaveras,727.0,1.22,887.0,1269.45,Tons,1126000.0
2022,263999.0,"Walnuts, English",11,Colusa,22000.0,2.28,50200.0,815.36,Tons,40931000.0
2022,263999.0,"Walnuts, English",13,Contra Costa,541.0,1.77,958.0,1617.95,Tons,1550000.0
2022,263999.0,"Walnuts, English",19,Fresno,10900.0,1.74,19000.0,968.0,Tons,18392000.0
2022,263999.0,"Walnuts, English",21,Glenn,41700.0,1.94,80900.0,830.98,Tons,67226000.0
2022,263999.0,"Walnuts, English",29,Kern,500.0,1.6,800.0,983.75,Tons,787000.0
2022,263999.0,"Walnuts, English",31,Kings,16500.0,1.99,32800.0,909.36,Tons,29827000.0
2022,263999.0,"Walnuts, English",33,Lake,3480.0,0.07,262.0,916.03,Tons,240000.0
2022,263999.0,"Walnuts, English",39,Madera,2500.0,1.77,4420.0,1161.31,Tons,5133000.0
2022,263999.0,"Walnuts, English",45,Mendocino,20.0,,,,,
2022,263999.0,"Walnuts, English",47,Merced,8880.0,1.18,10500.0,988.1,Tons,10375000.0
2022,263999.0,"Walnuts, English",61,Placer,4180.0,1.65,6900.0,760.0,Tons,5244000.0
2022,263999.0,"Walnuts, English",67,Sacramento,1890.0,1.2,2270.0,920.26,Tons,2089000.0
2022,263999.0,"Walnuts, English",69,San Benito,1330.0,0.5,663.0,1200.6,Tons,796000.0
2022,263999.0,"Walnuts, English",77,San Joaquin,74500.0,2.58,192000.0,760.4,Tons,145997000.0
2022,263999.0,"Walnuts, English",85,Santa Clara,299.0,1.59,476.0,981.09,Tons,467000.0
2022,263999.0,"Walnuts, English",89,Shasta,1400.0,1.15,1610.0,939.75,Tons,1513000.0
2022,263999.0,"Walnuts, English",95,Solano,10200.0,1.3,13300.0,849.92,Tons,11304000.0
2022,263999.0,"Walnuts, English",99,Stanislaus,36000.0,1.56,56200.0,760.3,,42729000.0
2022,263999.0,"Walnuts, English",101,Sutter,37500.0,1.52,57000.0,763.67,Tons,43529000.0
2022,263999.0,"Walnuts, English",103,Tehama,30700.0,1.96,60100.0,753.36,Tons,45277000.0
2022,263999.0,"Walnuts, English",107,Tulare,39900.0,2.03,81000.0,951.0,Tons,77031000.0
2022,263999.0,"Walnuts, English",113,Yolo,15000.0,1.55,23200.0,651.98,Tons,15126000.0
2022,263999.0,"Walnuts, English",115,Yuba,17000.0,2.06,35000.0,615.17,Tons,21531000.0
2022,263999.0,"Walnuts, English",998,Sum of Others,464.0,,,,,747000.0
2022,263999.0,"Walnuts, English",999,State Total,432044.0,1.88,811065.0,804.8,Tons,653492000.0
2022,,"Wheat, All",11,Colusa,4660.0,,,,,4292000.0
2022,,"Wheat, All",13,Contra Costa,2060.0,,,,,555000.0
2022,,"Wheat, All",21,Glenn,10300.0,,,,,8407000.0
2022,,"Wheat, All",25,Imperial,48400.0,,,,,65807000.0
2022,,"Wheat, All",29,Kern,52000.0,,,,,47714000.0
2022,,"Wheat, All",31,Kings,57000.0,,,,,80430000.0
2022,,"Wheat, All",35,Lassen,4580.0,,,,,3112000.0
2022,,"Wheat, All",47,Merced,7980.0,,,,,10403000.0
2022,,"Wheat, All",49,Modoc,5000.0,,,,,3975000.0
2022,,"Wheat, All",65,Riverside,16800.0,,,,,8701000.0
2022,,"Wheat, All",67,Sacramento,8480.0,,,,,7213000.0
2022,,"Wheat, All",77,San Joaquin,18900.0,,,,,18151000.0
2022,,"Wheat, All",93,Siskiyou,18000.0,,,,,13169000.0
2022,,"Wheat, All",95,Solano,7730.0,,,,,6031000.0
2022,,"Wheat, All",101,Sutter,12200.0,,,,,16177000.0
2022,,"Wheat, All",103,Tehama,2450.0,,,,,2024000.0
2022,,"Wheat, All",107,Tulare,17200.0,,,,,15751000.0
2022,,"Wheat, All",113,Yolo,23400.0,,,,,16407000.0
2022,,"Wheat, All",998,Sum of Others,111000.0,,,,,105464000.0
2022,,"Wheat, All",999,State Total,428140.0,,,,,433783000.0
2022,101999.0,"Wheat, All",11,Colusa,4660.0,3.11,14500.0,296.0,Tons,4292000.0
2022,101999.0,"Wheat, All",13,Contra Costa,2060.0,1.86,3830.0,144.91,Tons,555000.0
2022,101999.0,"Wheat, All",19,Fresno,23000.0,2.8,64400.0,397.0,Tons,25567000.0
2022,101999.0,"Wheat, All",21,Glenn,6640.0,3.52,23400.0,304.57,Tons,7127000.0
2022,101999.0,"Wheat, All",25,Imperial,48400.0,3.6,174000.0,378.2,Tons,65807000.0
2022,101999.0,"Wheat, All",29,Kern,18100.0,1.51,27300.0,349.74,Tons,9548000.0
2022,101999.0,"Wheat, All",31,Kings,14800.0,3.67,54300.0,341.25,Tons,18530000.0
2022,101999.0,"Wheat, All",35,Lassen,4580.0,2.0,9150.0,340.11,Tons,3112000.0
2022,101999.0,"Wheat, All",39,Madera,730.0,3.07,2240.0,315.18,Tons,706000.0
2022,101999.0,"Wheat, All",47,Merced,7980.0,4.44,35400.0,293.87,Tons,10403000.0
2022,101999.0,"Wheat, All",49,Modoc,5000.0,3.0,15000.0,265.0,Tons,3975000.0
2022,101999.0,"Wheat, All",65,Riverside,15800.0,2.3,36300.0,205.23,Tons,7450000.0
2022,101999.0,"Wheat, All",93,Siskiyou,18000.0,3.32,59800.0,220.22,Tons,13169000.0
2022,101999.0,"Wheat, All",95,Solano,7730.0,2.7,20900.0,288.56,Tons,6031000.0
2022,101999.0,"Wheat, All",101,Sutter,12200.0,4.08,49800.0,324.84,Tons,16177000.0
2022,101999.0,"Wheat, All",107,Tulare,17200.0,2.71,46600.0,338.0,Tons,15751000.0
2022,101999.0,"Wheat, All",998,Sum of Others,505.0,,,,,529000.0
2022,101999.0,"Wheat, All",999,State Total,207385.0,3.08,636920.0,326.89,Tons,208729000.0
