County,Crop,Year,AW (acre-ft/acre),Total Land (Irrigated Crop Area in acres),AW,,,,,,,,,,,,,,,,,,
Kern,Tomato Processing,1998,2.77,4500,12453.45345,,,,,,,,,,,,,,,,,,
Kern,Tomato Fresh,1998,2.04,1400,2853.019224,,,,,,,,,,,,,,,,,,
Kern,Cucurbits,1998,2.01,7940,15952.12977,,,,,,,,,,,,,,,,,,
Kern,Onions & Garlic,1998,3.07,14600,44837.47386,,,,,,,,,,,,,,,,,,
Kern,Potatoes,1998,1.75,24100,42271.9234,,,,,,,,,,,,,,,,,,
Kern,Truck Crops,1998,1.53,51360,78645.30807,,,,,,,,,,,,,,,,,,
Kern, Almonds & Pistachios,1998,3.22,143440,461172.0049,,,,,,,,,,,,,,,,,,
Kern, Other Deciduous,1998,2.73,18190,49702.7398,,,,,,,,,,,,,,,,,,
Kern, Citrus & Subtropical,1998,2.31,46700,107880.032,,,,,,,,,,,,,,,,,,
Kern,Vineyard,1998,1.83,96400,176487.4494,,,,,,,,,,,,,,,,,,
Kings,Grain,1998,0.53,94400,49997.08137,,,,,,,,,,,,,,,,,,
Kings,Rice,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Kings,Cotton,1998,2.43,159600,388131.4698,,,,,,,,,,,,,,,,,,
Kings,Sugar Beets,1998,0.79,3400,2684.210526,,,,,,,,,,,,,,,,,,
Kings,Corn,1998,2.49,59800,148776.3543,,,,,,,,,,,,,,,,,,
Kings,Dry Beans,1998,2.19,8500,18623.98645,,,,,,,,,,,,,,,,,,
Kings,Safflower,1998,0.88,32800,28820,,,,,,,,,,,,,,,,,,
Kings,Other Field,1998,2.17,4400,9555.498363,,,,,,,,,,,,,,,,,,
Kings,Alfalfa,1998,3.75,63700,239048.5367,,,,,,,,,,,,,,,,,,
Kings,Pasture,1998,3.86,4100,15841.98823,,,,,,,,,,,,,,,,,,
Kings,Tomato Processing,1998,2.46,4000,9828.144458,,,,,,,,,,,,,,,,,,
Kings,Tomato Fresh,1998,2.00,700,1396.928645,,,,,,,,,,,,,,,,,,
Kings,Cucurbits,1998,2.06,2700,5568.325792,,,,,,,,,,,,,,,,,,
Kings,Onions & Garlic,1998,3.30,2700,8915.285397,,,,,,,,,,,,,,,,,,
Kings,Potatoes,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Kings,Truck Crops,1998,1.35,5200,7008.257919,,,,,,,,,,,,,,,,,,
Kings, Almonds & Pistachios,1998,3.13,11300,35323.35221,,,,,,,,,,,,,,,,,,
Kings, Other Deciduous,1998,3.18,17500,55650.78582,,,,,,,,,,,,,,,,,,
Kings, Citrus & Subtropical,1998,2.42,1700,4118.918919,,,,,,,,,,,,,,,,,,
Kings,Vineyard,1998,1.71,5400,9245.885886,,,,,,,,,,,,,,,,,,
Lake,Grain,1998,0.14,1200,171.4285714,,,,,,,,,,,,,,,,,,
Lake,Rice,1998,4.18,1100,4600,,,,,,,,,,,,,,,,,,
Lake,Cotton,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Lake,Sugar Beets,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Lake,Corn,1998,1.79,100,179.4871795,,,,,,,,,,,,,,,,,,
Lake,Dry Beans,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Lake,Safflower,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Lake,Other Field,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Lake,Alfalfa,1998,2.93,300,878.4810127,,,,,,,,,,,,,,,,,,
Lake,Pasture,1998,2.59,5500,14249.43866,,,,,,,,,,,,,,,,,,
Lake,Tomato Processing,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Lake,Tomato Fresh,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Lake,Cucurbits,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Lake,Onions & Garlic,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Lake,Potatoes,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Lake,Truck Crops,1998,1.89,100,189.1891892,,,,,,,,,,,,,,,,,,
Lake, Almonds & Pistachios,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Lake, Other Deciduous,1998,2.18,7600,16564.10256,,,,,,,,,,,,,,,,,,
Lake, Citrus & Subtropical,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Lake,Vineyard,1998,0.45,6400,2882.352941,,,,,,,,,,,,,,,,,,
Lassen,Grain,1998,0.94,5500,5190.37284,,,,,,,,,,,,,,,,,,
Lassen,Rice,1998,3.72,700,2600.577201,,,,,,,,,,,,,,,,,,
Lassen,Cotton,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Lassen,Sugar Beets,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Lassen,Corn,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Lassen,Dry Beans,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Lassen,Safflower,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Lassen,Other Field,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Lassen,Alfalfa,1998,2.20,35400,77749.11999,,,,,,,,,,,,,,,,,,
Lassen,Pasture,1998,2.19,53800,117866.9105,,,,,,,,,,,,,,,,,,
Lassen,Tomato Processing,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Lassen,Tomato Fresh,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Lassen,Cucurbits,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Lassen,Onions & Garlic,1998,1.95,300,585.7142857,,,,,,,,,,,,,,,,,,
Lassen,Potatoes,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Lassen,Truck Crops,1998,1.45,900,1304.287493,,,,,,,,,,,,,,,,,,
